elevation_deg,carrier_angle_rad,sun_angle_rad,planet_absolute_angle_rad,planet_relative_angle_rad,dcarrier_dE,dplanet_absolute_dE,dplanet_relative_dE,signed_ratio,sun_pitch_radius_mm,planet_pitch_radius_mm,sun_pitch_x_local_mm,sun_pitch_y_local_mm,planet_pitch_x_local_mm,planet_pitch_y_local_mm,planet_center_x_world_mm,planet_center_y_world_mm,contact_x_world_mm,contact_y_world_mm,center_distance_mm
11.0,0.0,0.0,0.0,0.0,0.13674927444816984,1.0,0.8632507255518302,-6.312653058199706,103.59008706621962,16.40991293378038,103.59008706621962,0.0,-16.40991293378038,2.0096347348640893e-15,120.0,0.0,103.59008706621962,0.0,120.0
11.034,8.114865302035795e-05,0.0,0.0005934119456781073,0.0005122632926577494,0.13680307275333337,0.9999999999999999,0.8631969272466666,-6.3097773308285126,103.5836312696,16.416368730400006,103.58363092854552,0.008405672143260101,-16.41636657646018,0.00840950273152922,119.99999960489377,0.009737838351755509,103.58363092854552,0.008405672143260101,120.0
11.068,0.00016236115515459086,0.0,0.001186823891356159,0.0010244627362015683,0.1369106656913988,1.0,0.8630893343086012,-6.304032852006092,103.57072011703215,16.429279882967855,103.57071875191079,0.016815861684513267,-16.429271261507676,0.01683118207860573,119.99999841833133,0.019483338532950385,103.57071875191079,0.016815861684513267,120.0
11.102,0.00024363750204438225,0.0,0.0017802358370342386,0.0015365983349898563,0.13701825128584513,1.0000000000000004,0.8629817487141549,-6.298297785992153,103.55780984569859,16.442190154301414,103.55780677214254,0.025230565858381966,-16.442170743194488,0.025265032072334888,119.99999643844606,0.029236499956083167,103.55780677214254,0.025230565858381966,120.0
11.136,0.0003249776893324698,0.0,0.0023736477827122904,0.0020486700933798206,0.13712582953672778,1.0,0.8628741704632723,-6.292572109707166,103.54490045559267,16.455099544407332,103.54489498787844,0.033649781899924056,-16.45506501298862,0.033711046739050725,119.99999366337013,0.03899732203347526,103.54489498787844,0.033649781899924056,120.0
11.17,0.00040638171266059903,0.0,0.00296705972839037,0.002560678015729771,0.13723340044373006,1.0,0.8627665995562699,-6.286855800166745,103.53199194675238,16.46800805324761,103.53198339780035,0.04207350704443865,-16.467954062320683,0.04216922010034251,119.99999009123435,0.04876580417702483,103.53198339780035,0.04207350704443865,120.0
11.204,0.0004878495676711355,0.0,0.0035604716740684494,0.003072622106397314,0.13734096400727963,1.0,0.8626590359927206,-6.281148834422017,103.51908431912645,16.48091568087355,103.51907200050056,0.050501738527585535,-16.48083788271783,0.050639546173257374,119.99998572016824,0.05854194579839966,103.51907200050056,0.050501738527585535,120.0
11.238,0.000569381250006321,0.0,0.004153883619746501,0.00358450236974018,0.13744852022715764,0.9999999999999996,0.8625514797728417,-6.275451189633217,103.50617757274108,16.493822427258927,103.50616079464851,0.0589344735853664,-16.49371646563692,0.059122018969967466,119.99998054830006,0.0683257463089474,103.50616079464851,0.0589344735853664,120.0
11.272,0.0006509767553082728,0.0,0.004747295565424581,0.004096318810116308,0.13755606910336127,1.0,0.8624439308966387,-6.2697628430235826,103.49327170759665,16.506728292403352,103.49324977888746,0.06737170945408869,-16.50658980256791,0.06761663249803913,119.99997457375675,0.07811720511969487,103.49324977888746,0.06737170945408869,120.0
11.306000000000001,0.0007326360792192328,0.0,0.005340707511102688,0.004608071431883455,0.13766361063569743,0.9999999999999991,0.8623363893643021,-6.264083771900506,103.4803667237163,16.5196332762837,103.4803389518831,0.0758134433704161,-16.519457884985247,0.07612338076023142,119.99996779466396,0.08791632164137742,103.4803389518831,0.0758134433704161,120.0
11.34,0.0008143592173810704,0.0,0.00593411945678074,0.0051197602393996695,0.13777114482441744,1.0,0.8622288551755823,-6.258413953621789,103.46746262106991,16.532537378930098,103.46742831224752,0.08425967257126418,-16.532320704423896,0.08464225775487118,119.99996020914611,0.09772309528437866,103.46742831224752,0.08425967257126418,120.0
11.374,0.0008961461654363372,0.0,0.006527531402458819,0.005631385237022482,0.1378786716696755,1.0000000000000009,0.8621213283303248,-6.252753365623963,103.45455939963895,16.545440600361054,103.45451785860399,0.0927103942939455,-16.545178252414427,0.09317325747560196,119.99995181532623,0.10753752545885653,103.45451785860399,0.0927103942939455,120.0
11.408,0.0009779969190270889,0.0,0.007120943348136871,0.006142946429109782,0.13798619117089916,1.0,0.8620138088290998,-6.247101985455018,103.44165705949209,16.558342940507917,103.44160758966277,0.1011656057761259,-16.558030520407517,0.10171637391091988,119.99994261132616,0.11735961157460133,103.44160758966277,0.1011656057761259,120.0
11.442,0.0010599114737951949,0.0,0.007714355293814951,0.0066544438200197556,0.13809370332886972,1.0,0.8619062966711297,-6.241459790664767,103.42875560053562,16.571244399464376,103.42869750397129,0.10962530425562757,-16.570877500023418,0.11027160104561111,119.99993259526637,0.1271893530410723,103.42869750397129,0.10962530425562757,120.0
11.476,0.001141889825383641,0.0,0.00830776723949303,0.007165877414109389,0.1382012081431263,1.0000000000000009,0.8617987918568737,-6.235826758940941,103.41585502282484,16.584144977175157,103.41578760022568,0.1180894869708523,-16.583719182740673,0.11883893285894369,119.9999217652661,0.13702674926755343,103.41578760022568,0.1180894869708523,120.0
11.51,0.0012239319694337387,0.0,0.008901179185171082,0.007677247215737343,0.1383087056135025,0.9999999999999991,0.8616912943864969,-6.230202868028096,103.40295532637968,16.59704467362031,103.40287787708641,0.12655815116032787,-16.596555560080404,0.12741836332570902,119.99991011944327,0.14687179966281788,103.40287787708641,0.12655815116032787,120.0
11.544,0.0013060379015882877,0.0,0.009494591130849162,0.008188553229260874,0.13841619574026298,1.0,0.8615838042597384,-6.224588095720347,103.39005651116847,16.609943488831536,103.38996833316196,0.13503129406299924,-16.609386623622626,0.13600988641645326,119.99989765591452,0.1567245036355071,103.38996833316196,0.13503129406299924,120.0
11.578,0.0013882076174889094,0.0,0.010088003076527213,0.008699795459038304,0.13852367852345626,1.0,0.8614763214765455,-6.218982419894887,103.37715857718528,16.622841422814723,103.37705896708624,0.14350891291803852,-16.622212364928792,0.14461349609693563,119.99988437279522,0.1665848605938102,103.37705896708624,0.14350891291803852,120.0
11.612,0.0014704411127784655,0.0,0.01068141502220532,0.009210973909426856,0.13863115396287706,1.0000000000000018,0.8613688460371254,-6.213385818513669,103.36426152445479,16.635738475545207,103.36414977752342,0.1519910049651123,-16.635032775537066,0.15322918632804824,119.9998702681994,0.17645286994575354,103.36414977752342,0.1519910049651123,120.0
11.646,0.0015527383830983297,0.0,0.0112748269678834,0.009722088584785071,0.13873862205843057,1.0000000000000018,0.8612613779415703,-6.207798269604012,103.35136535298835,16.648634647011654,103.35124076312403,0.16047756744404384,-16.647847847006183,0.16185695106615025,119.99985534023989,0.18632853109887287,103.35124076312403,0.16047756744404384,120.0
11.68,0.0016350994240912392,0.0,0.011868238913561452,0.010233139489470213,0.13884608281083088,1.0,0.8611539171891671,-6.20221975122219,103.33847006270027,16.66152993729974,103.33833192244117,0.1689685975949649,-16.660657570999145,0.17049678426397266,119.99983958702813,0.19621184346055495,103.33833192244117,0.1689685975949649,120.0
11.714,0.001717524231399436,0.0,0.012461650859239531,0.010744126627840096,0.13895353621925088,1.0,0.8610464637807507,-6.19665024157521,103.32557565368991,16.67442434631008,103.32542325421277,0.17746409265856786,-16.67346193900115,0.17914867986783614,119.99982300667438,0.20610280643781384,103.32542325421277,0.17746409265856786,120.0
11.748,0.0018000128006646656,0.0,0.013055062804917583,0.011255050004252918,0.13906098228400166,1.0,0.8609390177159959,-6.1910897188811465,103.31268212591976,16.68731787408024,103.31251475703945,0.185964049875602,-16.686260942641596,0.18781263182083166,119.99980559728753,0.21600141943729032,103.31251475703945,0.185964049875602,120.0
11.782,0.0018825651275295413,0.0,0.013648474750595663,0.011765909623066121,0.13916842100523863,1.0,0.8608315789947607,-6.185538161436472,103.29978947937136,16.700210520628648,103.29960642954059,0.19446846648725127,-16.699054573538003,0.1964886340613121,119.99978735697523,0.22590768186541485,103.29960642954059,0.19446846648725127,120.0
11.816,0.001965181207635995,0.0,0.014241886696273742,0.012276705488637747,0.13927585238260476,1.0,0.860724147617395,-6.179995547633766,103.28689771408743,16.713102285912576,103.28669827039643,0.2029773397350645,-16.711842823253996,0.20517668052236415,119.99976828384385,0.23582159312822132,103.28669827039643,0.2029773397350645,120.0
11.85,0.002047861036626206,0.0,0.014835298641951794,0.012787437605325587,0.1393832764163485,1.0000000000000018,0.8606167235836537,-6.1744618559039015,103.27400683003822,16.725993169961782,103.2737902782144,0.2114906668608025,-16.724625683432926,0.21387676513333193,119.99974837599842,0.24574315263145782,103.2737902782144,0.2114906668608025,120.0
11.884,0.0021306046101424165,0.0,0.015428710587629901,0.013298105977487484,0.1394906931063744,0.9999999999999982,0.8605093068936238,-6.168937064764649,103.26111682723504,16.738883172764957,103.26088245164267,0.2200084451066306,-16.737403145684357,0.22258888181855102,119.99972763154274,0.2556723597805638,103.26088245164267,0.2200084451066306,120.0
11.918,0.0022134119238266816,0.0,0.016022122533307953,0.013808710609481271,0.13959810245289317,1.0,0.8604018975471064,-6.163421152787127,103.24822770565282,16.751772294347187,103.2479747892927,0.22853067171493807,-16.750175201661488,0.23131302449826907,119.99970604857934,0.26560921398063986,103.2479747892927,0.22853067171493807,120.0
11.952,0.0022962829733214913,0.0,0.016615534478986033,0.014319251505664541,0.13970550445573648,1.0,0.8602944955442631,-6.157914098630481,103.23533946531161,16.764660534688385,103.23506728982073,0.23705734392857417,-16.762941842979615,0.24004918708761502,119.99968362520941,0.27555371463652145,103.23506728982073,0.23705734392857417,120.0
11.986,0.002379217754268714,0.0,0.017208946424664112,0.014829728670395398,0.1398128991148666,1.0,0.8601871008851347,-6.152415881015582,103.22245210621602,16.77754789378397,103.22215995186728,0.245588458990613,-16.775703061276797,0.24879736349735407,119.9996603595329,0.28550586115265175,103.22215995186728,0.245588458990613,120.0
12.02,0.002462216262310779,0.0,0.017802358370342164,0.015340142108031385,0.139920286430272,1.0,0.8600797135697285,-6.146926478730026,103.20956562836737,16.79043437163263,103.20925277406918,0.254124014144499,-16.78845884820162,0.25755754763379163,119.99963624964843,0.29546565293322286,103.20925277406918,0.254124014144499,120.0
12.054,0.0025452784930895546,0.0,0.018395770316020243,0.01585049182293069,0.14002766640205921,1.0,0.8599723335979395,-6.14144587062327,103.19668003175286,16.803319968247127,103.1963457550489,0.2626640066339018,-16.801209195424008,0.26632973339893784,119.99961129365342,0.3054330893820406,103.1963457550489,0.2626640066339018,120.0
12.088000000000001,0.002628404442247593,0.0,0.018989182261698323,0.01636077781945073,0.14013503903018476,1.0,0.8598649609698175,-6.135974035620061,103.18379531637787,16.816204683622132,103.18343889344672,0.2712084337029236,-16.813954094603055,0.2751139146899952,119.99958548964392,0.3154081699026738,103.18343889344672,0.2712084337029236,120.0
12.122,0.0027115941054267016,0.0,0.019582594207376375,0.016871000101949675,0.14024240431447899,1.0000000000000036,0.8597575956855223,-6.130510952718733,103.17091148226254,16.829088517737457,103.17053218791736,0.27975729259594884,-16.826693537390263,0.28391008539945606,119.99955883571477,0.3253908938982813,103.17053218791736,0.27975729259594884,120.0
12.156,0.0027948474782692463,0.0,0.020176006153054482,0.017381158674785235,0.14034976225536866,1.0,0.8596502377446313,-6.1250566009544345,103.15802852935576,16.84197147064424,103.15762563704399,0.2883105805575453,-16.839427515515705,0.2927182394164734,119.99953132995947,0.3353812607717689,103.15762563704399,0.2883105805575453,120.0
12.19,0.00287816455641753,0.0,0.020769418098732534,0.017891253542315005,0.14045711285254114,0.9999999999999964,0.8595428871474571,-6.119610959466666,103.14514645769503,16.854853542304966,103.14471923949806,0.296868294832829,-16.85215602062809,0.30153837062423244,119.99950297047027,0.3453792699257133,103.14471923949806,0.296868294832829,120.0
12.224,0.002961545335513547,0.0,0.021362830044410613,0.018401284708897066,0.1405644561059387,1.0,0.8594355438940617,-6.11417400744847,103.13226526728737,16.867734732712638,103.1318129939202,0.3054304326671232,-16.864879044413893,0.31037047290194764,119.99947375533817,0.3553849207623326,103.1318129939202,0.3054304326671232,120.0
12.258,0.003044989811199538,0.0,0.021956241990088665,0.018911252178889126,0.14067179201571944,0.9999999999999964,0.8593282079842766,-6.108745724148097,103.1193849581136,16.8806150418864,103.11890689892458,0.3139969913060156,-16.877596578593007,0.3192145401248499,119.99944368265282,0.3653982126835521,103.11890689892458,0.3139969913060156,120.0
12.292,0.003128497979117684,0.0,0.022549653935766745,0.01942115595664906,0.14077912058182962,1.0,0.8592208794181708,-6.103326088890703,103.10650553018046,16.893494469819547,103.10600095315091,0.3225679679954785,-16.890308614866722,0.3280705661632137,119.99941275050264,0.3754191450909671,103.10600095315091,0.3225679679954785,120.0
12.326,0.0032120698349101633,0.0,0.023143065881444824,0.01993099604653466,0.14088644180422571,1.0000000000000036,0.8591135581957801,-6.09791508106646,103.09362698349301,16.906373016506986,103.09309515523694,0.3311433599817963,-16.903015144945226,0.33693854488289826,119.99938095697479,0.38544771738584904,103.09309515523694,0.3311433599817963,120.0
12.36,0.003295705374219094,0.0,0.023736477827122876,0.020440772452903783,0.14099375568294992,1.0,0.8590062443170474,-6.092512680126623,103.08074931804597,16.919250681954036,103.08018950380975,0.33972316451153034,-16.915716160556382,0.34581847014550166,119.99934830015506,0.39548392896913825,103.08018950380975,0.33972316451153034,120.0
12.394,0.0033794045926867178,0.0,0.024329889772800956,0.020950485180114237,0.14110106221815633,0.9999999999999964,0.8588989377818415,-6.087118865582301,103.0678725338212,16.932127466178798,103.06728399748324,0.3483073788315244,-16.92841165344809,0.35471033580847405,119.99931477812807,0.4055277792414653,103.06728399748324,0.3483073788315244,120.0
12.428,0.003463167485955338,0.0,0.024923301718479063,0.021460134232523725,0.14120836140949633,0.9999999999999964,0.8587916385905068,-6.081733617034612,103.05499663086049,16.945003369139506,103.05437863493097,0.3568960001891445,-16.94110161531567,0.3636141357235615,119.99928038897708,0.41557926760314273,103.05437863493097,0.3568960001891445,120.0
12.462,0.003546994049666763,0.0,0.025516713664157115,0.021969719614490353,0.14131565325727147,1.0,0.8586843467427236,-6.0763569141165865,103.04212160912734,16.95787839087266,103.04147341474783,0.3654890258317565,-16.953786037939963,0.3725298637397553,119.99924513078413,0.42563839345409826,103.04147341474783,0.3654890258317565,120.0
12.496,0.0036308842794636666,0.0,0.026110125609835194,0.022479241330371526,0.1414229377614804,1.0000000000000036,0.8585770622385205,-6.070988736541241,103.02924746862237,16.970752531377634,103.02856833556558,0.3740864530072517,-16.96646491307195,0.3814575137008147,119.99920900162994,0.435705156194037,103.02856833556558,0.3740864530072517,120.0
12.53,0.0037148381709878582,0.0,0.026703537555513246,0.02298869938452539,0.14153021492191575,0.9999999999999964,0.858469785078082,-6.065629064095692,103.01637420937007,16.98362579062993,103.01566339603949,0.38268827896383456,-16.97913823244603,0.39039707944559765,119.999171999594,0.4457795552222334,103.01566339603949,0.38268827896383456,120.0
12.564,0.0037988557198817647,0.0,0.027296949501191325,0.02349809378130956,0.14163748473868054,1.0,0.8583625152613195,-6.060277876615699,103.00350183135834,16.996498168641665,103.00275859478796,0.3912945009499559,-16.99180598784047,0.39934855480930764,119.99913412275448,0.45586158993770876,103.00275859478796,0.3912945009499559,120.0
12.598,0.0038829369217873175,0.0,0.027890361446869405,0.02400742452508209,0.14174474721147057,1.0,0.8582552527885312,-6.0549351540208445,102.99063033462357,17.00936966537644,102.9898539304776,0.3999051162145122,-17.004468170992304,0.4083119336216718,119.9990953691883,0.46595125973909657,102.9898539304776,0.3999051162145122,120.0
12.632,0.003967081772346573,0.0,0.028483773392547457,0.024516691620200884,0.1418520023410057,0.9999999999999964,0.8581479976589925,-6.049600876243144,102.97775971907929,17.022240280920713,102.97694940165175,0.4085201220062502,-17.017124773768668,0.4172872097109122,119.99905573697107,0.4760485640247169,102.97694940165175,0.4085201220062502,120.0
12.666,0.00405129026720233,0.0,0.029077185338225536,0.025025895071023208,0.14195925012692623,1.0000000000000036,0.8580407498730764,-6.044275023331691,102.9648899847689,17.0351100152311,102.96404500698343,0.4171395155748025,-17.02977578791416,0.4262743768978262,119.99901522417719,0.48615350219264986,102.96404500698343,0.4171395155748025,120.0
12.7,0.0041355624019962095,0.0,0.029670597283903588,0.02553503488190738,0.14206649056906961,1.0000000000000036,0.8579335094309322,-6.038957575388432,102.95202113171167,17.04797886828832,102.95114074512115,0.42576329416990655,-17.042421205204743,0.4352734289993479,119.9989738288797,0.49626607364050435,102.95114074512115,0.42576329416990655,120.0
