ArcLength_mm,X_mm,Y_mm,TangentAngle_deg,Curvature
0.0,11.235827784624853,-0.0,-63.89029936307308,-2.8067450665760425e-14
0.010184352754344954,11.24090489769481,-0.008828587876880761,-52.336115210168266,40.533872765074236
0.022650948135272034,11.249692838995303,-0.017670990722874282,-45.12830916975907,-19.398724330292808
0.03443916492389453,11.25747558995286,-0.026524851044124984,-49.19678667967531,7.527822577424815
0.046409147305415586,11.26551661211225,-0.03539178066187343,-47.57568195437764,-2.7916675253867145
0.058334575624893185,11.273477395075894,-0.04427106977805664,-48.26049200394458,0.788620132254803
0.07027635645949394,11.281448610911966,-0.053162967640515015,-48.124082246307886,-0.38980902687541524
0.08221820438682464,11.289405949632203,-0.06206737623462784,-48.26269947822968,-0.015364843083743392
0.09416448410978727,11.29735590602216,-0.07098431475729597,-48.31289981878101,-0.1313188578457868
0.10611402932014098,11.305296721972741,-0.07991376450368458,-48.39070597810657,-0.09596553814053178
0.11806715468996601,11.313228850456778,-0.08885571864243398,-48.460031499150105,-0.10648508752138001
0.13002377833050874,11.32115215212012,-0.0978101666786476,-48.5318852589135,-0.10328729830040093
0.1419839244408366,11.329066646169121,-0.10677709920480885,-48.60295836770759,-0.10414492376675755
0.15394758894345673,11.336972309546985,-0.11575650647295053,-48.67423342601992,-0.10381552553837463
0.16591477522518558,11.344869130379571,-0.12474837881632973,-48.745421880698814,-0.10383111314397551
0.17788548468245127,11.352757093829993,-0.1337527065266632,-48.816607657233995,-0.10374660240285921
0.18985971927771306,11.360636185925319,-0.14276947989055205,-48.8877663971788,-0.1036911880357358
0.20183748080441705,11.36850639245574,-0.15179868917814185,-48.958905207376624,-0.10362744006095688
0.21381877108032538,11.376367699264232,-0.16084032464626039,-49.03002230555083,-0.1035668718520081
0.22580359189340315,11.384220092165412,-0.16989437653737985,-49.10111776676036,-0.10350338481539251
0.2377919451391679,11.39206355715169,-0.17896083508271418,-49.17219179014398,-0.10344343678461973
0.2497838325318058,11.39989807995957,-0.1880396904957342,-49.24324465628278,-0.10338080963534088
0.2617792559197864,11.407723646543632,-0.19713093297931839,-49.31427576393241,-0.10331915236065888
0.27377821711303835,11.415540242816933,-0.20623455272189237,-49.38528566512528,-0.10325817324143072
0.28578071787124565,11.423347854633352,-0.21535053989689842,-49.456274147834776,-0.10319594136058219
0.297786760020618,11.431146467963249,-0.22447888466598262,-49.52724121178515,-0.10313500270454976
0.3097963453281102,11.438936068704194,-0.2336195771755571,-49.598186920354,-0.10307299733663898
0.32180947560485035,11.446716642836698,-0.2427726075597821,-49.669111229574874,-0.10301197237945654
0.3338261526135962,11.454488176284805,-0.25193796593779855,-49.74001428709801,-0.10295043828894791
0.34584637813486524,11.462250655015751,-0.261115642415741,-49.81089600709995,-0.10288920593596886
0.357870153939328,11.470004064998351,-0.270305627085897,-49.88175642487008,-0.10282781646378138
0.36989748180584614,11.477748392230218,-0.2795079100273461,-49.9525954792141,-0.10276644849171468
0.38192836350206816,11.485483622708488,-0.2887224813053025,-50.02341339621373,-0.10270575727603584
0.39396280076706514,11.493209742403574,-0.2979493309704025,-50.094209944357395,-0.10264376020461986
0.4060007954059126,11.5009267374021,-0.30718844906238707,-50.164985185146655,-0.10258328902701347
0.4180423491393919,11.50863459367972,-0.3164398256042771,-50.23573936929586,-0.10252206178825413
0.43008746372110723,11.51633329727819,-0.3257034506069169,-50.30647223435656,-0.10246087211359445
0.4421361409122191,11.524022834267198,-0.3349793140680892,-50.377183893114214,-0.10240001404282642
0.45418838245013465,11.531703190696946,-0.3442674059711809,-50.447874388506264,-0.10233899136598335
0.46624419007509577,11.53937435263843,-0.3535677162863058,-50.51854374430294,-0.10227824465326954
0.4783035655220172,11.547036306171066,-0.3628802349699665,-50.589191831915976,-0.10221689236669848
0.49036651054638825,11.554689037421989,-0.37220495196632314,-50.65981886300249,-0.10215680061134673
0.5024330268384846,11.562332532435907,-0.38154185720305134,-50.73042481544185,-0.10209542757399724
0.5145031161572113,11.569966777378214,-0.3908909405978495,-50.80100947908476,-0.102034770198477
0.5265767802223847,11.577591758371488,-0.4002521920532303,-50.871573205696286,-0.1019744573294473
0.538654020732262,11.58520746152208,-0.4096256014572568,-50.94211575638288,-0.10191315242536646
0.5507348394263847,11.592813873015636,-0.4190111586869025,-51.012637382841916,-0.10185360948558989
0.5628192379693052,11.600410978940307,-0.4284088536017993,-51.0831378378707,-0.10179163403412848
0.5749072181447477,11.60799876558213,-0.4378186760549631,-51.15361710626921,-0.10173208914364266
0.5869987816110814,11.615577219052897,-0.44724061587921343,-51.224075568744254,-0.10167125683288337
0.599093930071714,11.623146325549548,-0.45667466289664377,-51.29451300017403,-0.10161110493613373
0.6111926652133188,11.6307060712601,-0.46612080691515734,-51.364929428411266,-0.10155039636098519
0.6232949887520576,11.63825644243411,-0.475579037731276,-51.43532472900997,-0.1014899283701214
0.6354009023766368,11.645797425295866,-0.4850493451267352,-51.5056993098633,-0.101430439460691
0.647510407736845,11.653329006026848,-0.49453171886760916,-51.57605272264662,-0.10136872263484846
0.6596235065864697,11.660851170983927,-0.5040261487135385,-51.64638525620613,-0.1013101086356453
0.6717402005264624,11.668363906307146,-0.5135326244011268,-51.71669697750756,-0.10124862933954767
0.6838604912885158,11.675867198352943,-0.5230511356624635,-51.786987662609185,-0.10118941270430341
0.6959843805046997,11.683361033342083,-0.5325816722098909,-51.85725760219927,-0.101128814726467
0.7081118698706327,11.690845397609156,-0.5421242237470101,-51.92750642134059,-0.10106856173804057
0.7202429610570495,11.698320277467328,-0.5516787799627142,-51.99773466577211,-0.1010095779975043
0.7323776556736732,11.705785659152982,-0.5612453305284208,-52.067941913270126,-0.10094815443421225
0.7445159554557935,11.713241529111498,-0.5708238651116606,-52.13812821544354,-0.10088936174211785
0.7566578619972999,11.720687873588231,-0.5804143733566131,-52.208294022887856,-0.10082927850039793
0.7688033769573364,11.72812467894523,-0.5900168448992201,-52.2784387083215,-0.10076872604243031
0.7809525020231197,11.735551931604295,-0.599631269364702,-52.3485627639644,-0.10071010071777955
0.7931052387766799,11.742969617842475,-0.6092576363571481,-52.41866609453562,-0.10064931917492165
0.8052615889089368,11.750377724120682,-0.6188959354762255,-52.4887484997132,-0.10059016159136748
0.8174215540332324,11.757776236797367,-0.6285461563025594,-52.55881033298785,-0.10053043938298123
0.8295851357810216,11.765165142275508,-0.6382082884052709,-52.628851336661135,-0.10047058596644663
0.8417523357911569,11.772544426986162,-0.6478823213412161,-52.69887173965348,-0.10041156454026204
0.8539231556680309,11.779914077324086,-0.6575682446514659,-52.768871305840904,-0.1003510781210405
0.8660975970791851,11.78727407979795,-0.6672660478696363,-52.83885024894589,-0.10029271306634978
0.8782756615878666,11.79462442077256,-0.6769757205075043,-52.90880860692397,-0.10023238038920408
0.8904573508505332,11.801965086773036,-0.6866972520721104,-52.978746171066156,-0.1001734606337462
0.9026426664575301,11.80929606423935,-0.696430632051877,-53.048663263817254,-0.10011409645579114
0.914831610019103,11.816617339658897,-0.7061758499241637,-53.118559545163194,-0.10005424690678487
0.9270241831642868,11.823928899564816,-0.7159328951553197,-53.18843538464932,-0.09999598493273176
0.939220387439236,11.831230730379081,-0.7257017571912036,-53.258290684593874,-0.09993590076378729
0.9514202244910268,11.838522818696257,-0.7354824254743406,-53.32812513993747,-0.09987680941436454
0.9636236959169676,11.845805151050811,-0.7452748894299323,-53.397939193243225,-0.09981803596180754
0.975830803276648,11.853077713935692,-0.7550791384667642,-53.467732810971,-0.09975889338758878
0.9880415481593072,11.86034049390646,-0.7648951619837289,-53.53750579401461,-0.09969959501710768
1.0002559321716413,11.867593477562478,-0.7747229493688066,-53.60725816263332,-0.09964055466358757
1.0124739568893926,11.874836651472005,-0.7845624899942585,-53.67699023582633,-0.09958221246770295
1.0246956238538099,11.882070002166685,-0.7944137732160983,-53.746701785208224,-0.09952256464188751
1.036920934684317,11.889293516316066,-0.8042767883857211,-53.81639265113112,-0.0994638105533239
1.049149890947481,11.896507180524608,-0.8141515248365219,-53.88606325427501,-0.09940540861126522
1.0613824941772045,11.90371098136294,-0.8240379718857656,-53.9557134772107,-0.0993463643347377
1.073618745954799,11.910904905492048,-0.8339361188431166,-54.025343098124786,-0.09928737395959641
1.085858647855421,11.918088939580212,-0.8438459550050796,-54.094952407986604,-0.09922920431209192
1.0981022013992778,11.925263070227231,-0.8537674696495673,-54.164541464760326,-0.0991704244171727
1.1103494081523615,11.932427284120863,-0.8637006520469201,-54.23410987522735,-0.09911117841553811
1.1226002697029587,11.939581568000373,-0.8736454914575534,-54.30365798990284,-0.0990534419498667
1.1348547875473673,11.94672590847887,-0.8836019771189821,-54.37318594657935,-0.09899463404212344
1.1471129632399757,11.95386029227667,-0.8935700982627359,-54.442693388753106,-0.09893592681474538
1.159374798336778,11.960984706133464,-0.9035498441081108,-54.51218057964608,-0.09887791324998609
1.1716402943532047,11.968099136742673,-0.9135412038572012,-54.58164745506357,-0.09881906855053514
1.1839094528404963,11.97520357087037,-0.9235441667038526,-54.65109406553265,-0.09876124349538243
1.1961822753049365,11.982297995229466,-0.933558721824113,-54.72052040503566,-0.09870242707840396
1.2084587632963453,11.989382396617636,-0.9435848583868427,-54.78992644831889,-0.09864457492828345
1.2207389183212976,11.996456761782012,-0.9536225655432564,-54.85931227580489,-0.09858603256678797
1.2330227419105326,12.003521077524338,-0.9636718324351331,-54.92867789023579,-0.09852823313847392
1.2453102355587338,12.010575330606981,-0.9737326481873773,-54.998023379218566,-0.09846998516055284
1.2576014007902236,12.017619507855517,-0.9838050019162227,-55.06734847571463,-0.09841147223339361
1.2698962391326538,12.024653596117657,-0.9938888827260557,-55.13665358229551,-0.09835441249595701
1.282194752045102,12.031677582150841,-1.0039842797000873,-55.20593843660127,-0.09829520062173049
1.2944969410908678,12.038691452892442,-1.0140911819227212,-55.27520306082584,-0.09823824834239671
1.3068028077182565,12.045695195116862,-1.024209578451073,-55.34444779063294,-0.09818003489331216
1.3191123534330045,12.052688795705336,-1.0343394583374466,-55.413672213047306,-0.09812195632602173
1.3314255797470358,12.059672241565755,-1.0444808106227759,-55.482876546695074,-0.09806440806280593
1.3437424881317777,12.066645519559524,-1.0546336243303027,-55.55206089060163,-0.0980066558179295
1.356063080066195,12.073608616576825,-1.0647978884719942,-55.62122516761308,-0.0979489343568141
1.368387357042353,12.080561519545356,-1.0749735920494017,-55.690369216787964,-0.09789077158695743
1.3807153205632132,12.087504215426895,-1.0851607240534602,-55.759493331510335,-0.09783392626059308
1.393046972058416,12.094436691085129,-1.0953592734526216,-55.82859753896492,-0.09777588652676843
1.4053823130241097,12.101358933505153,-1.1055692292124832,-55.89768153184509,-0.09771821656655065
1.4177213449375747,12.108270929659435,-1.1157905802838783,-55.96674568296495,-0.0976612773139032
1.4300640692350715,12.115172666472969,-1.1260233155995565,-56.03578980689842,-0.09760312877037496
1.442410487414122,12.12206413098408,-1.1362674240890287,-56.10481390780338,-0.09754624644066957
1.4547606009083902,12.128945310147667,-1.1465228946603836,-56.17381817964269,-0.09748869228818802
1.467114411179596,12.135816190979792,-1.1567897162137022,-56.24280243217175,-0.09743131780584263
1.479471919683803,12.142676760504642,-1.1670678776361674,-56.3117668313869,-0.09737427835697997
1.491833127859982,12.14952700573651,-1.177357367800315,-56.380711272239445,-0.09731665302615397
1.5041980371756718,12.15636691375175,-1.1876581755709854,-56.449635793701674,-0.09725976912115138
1.5165666490573266,12.163196471578988,-1.1979702897947233,-56.518540539887816,-0.09720259661200907
1.528938964939711,12.170015666277006,-1.2082936993072837,-56.587425435981515,-0.09714554735204327
1.541314986263564,12.176824484931066,-1.2186283929333472,-56.656290374159695,-0.09708811648623827
1.553694714478986,12.18362291465827,-1.2289743594871292,-56.7251355796171,-0.09703174799214337
1.5660781509821688,12.190410942507658,-1.2393315877623148,-56.7939610032759,-0.09697422504116583
1.5784652972261006,12.197188555635062,-1.2497000665496678,-56.86276654780813,-0.09691762772686885
1.5908561546196844,12.203955741143725,-1.2600797846209584,-56.93155241606773,-0.09686072254173576
1.60325072458543,12.210712486175481,-1.2704707307382084,-57.0003183977233,-0.09680357861683343
1.6156490085538844,12.217458777901973,-1.2808728936528866,-57.069064742113994,-0.09674742140134823
1.6280510079081298,12.224194603436818,-1.291286262096711,-57.137791320906814,-0.0966899625584267
1.6404567240962051,12.230919950013577,-1.301710824800323,-57.206498079386854,-0.096633696876612
1.6528661585005713,12.23763480477905,-1.3121465704715662,-57.275185358408976,-0.09657724342868455
1.6652793125124903,12.244339154911088,-1.322593487807827,-57.3438528068653,-0.096520036292319
1.677696187566352,12.251032987673034,-1.3330515655020463,-57.41250057780564,-0.09646405890555758
1.6901167850341372,12.257716290246371,-1.3435207922246828,-57.481128725041366,-0.09640704951202127
1.70254110633052,12.264389049897455,-1.3540011566417547,-57.54973720183663,-0.09635098657377375
1.7149691528229987,12.27105125383489,-1.3644926473992791,-57.61832620175197,-0.09629456739622672
1.7274009259002319,12.27770288931802,-1.374995253135162,-57.686895428163965,-0.09623771748657824
1.739836426974787,12.284343943661316,-1.3855089624798531,-57.75544508015575,-0.09618190316841915
1.7522756574035279,12.290974404107875,-1.3960337640421598,-57.82397519002352,-0.0961251904406058
1.7647186185790404,12.297594257974742,-1.40656964642555,-57.8924857571883,-0.09606942044069405
1.7771653118537327,12.304203492532213,-1.4171165982145075,-57.96097681245865,-0.09601284067492999
1.789615738617852,12.310802095127968,-1.4276746079887024,-58.029448256714005,-0.09595683869511558
1.8020699002346343,12.317390053083857,-1.438243664311212,-58.09790025241461,-0.09590076077267669
1.8145277980681538,12.323967353740239,-1.4488237557335943,-58.16633268521516,-0.09584448460848209
1.8269894334948138,12.330533984474307,-1.4594148707980892,-58.23474560594971,-0.09578859528415824
1.8394548078624786,12.33708993263495,-1.4700169980299709,-58.30313919053084,-0.09573285827916021
1.8519239225111668,12.343635185575732,-1.4806301259413508,-58.371513298811905,-0.0956766229956094
1.8643967788142246,12.350169730720589,-1.4912542430390936,-58.439867857770544,-0.09562072772155611
1.8768733781243252,12.356693555477671,-1.5018893378145852,-58.508203064842114,-0.09556509134297718
1.8893537217743896,12.363206647240798,-1.5125353987438113,-58.57651888915769,-0.09550915622301533
1.9018378111149519,12.369708993449136,-1.523192414294614,-58.644815278276155,-0.09545341948302435
1.9143256474860126,12.376200581542244,-1.5338603729212583,-58.7130923346599,-0.09539781728330528
1.9268172322213544,12.382681398966964,-1.5445392630652608,-58.78134997678278,-0.09534189915479477
1.9393125666649857,12.389151433203724,-1.5552290731586798,-58.849588343465875,-0.0952867311655065
1.9518116521260411,12.395610671694385,-1.5659297916150976,-58.917807374997416,-0.09523069297515369
1.964314489957925,12.402059101968922,-1.5766414068455297,-58.98600699249018,-0.09517535085616582
1.9768210814761062,12.408496711513802,-1.5873639072419068,-59.054187446538755,-0.09512005890978989
1.9893314279936678,12.414923487828922,-1.5980972811841896,-59.12234850151362,-0.09506410576117354
2.001845530851482,12.42133941847598,-1.6088415170466461,-59.19049039163386,-0.09500951353614634
2.014363391327222,12.4277444909326,-1.6195966031790556,-59.25861301936841,-0.09495333537310223
2.0268850107737575,12.43413869281429,-1.6303625279354357,-59.32671631623766,-0.09489859821698346
2.0394103904754854,12.44052201164396,-1.6411392796441482,-59.39480052272808,-0.09484313737544096
2.05193953174646,12.446894435009408,-1.6519268466283914,-59.46286540888446,-0.09478780581269215
2.064472435895988,12.453255950508087,-1.6627252171990528,-59.530911204771606,-0.09473303245406547
2.077009104206538,12.459606545711623,-1.6735343796499356,-59.59893775875357,-0.09467732540099312
2.0895495380002327,12.465946208272669,-1.6843543222720618,-59.66694520885063,-0.09462298259211155
2.1020937385408773,12.472274925767408,-1.695185033332546,-59.734933468200445,-0.094567080836342
2.114641707159602,12.478592685897626,-1.7060265011018816,-59.80290257421791,-0.09451288823996783
2.127193445102982,12.484899476246348,-1.716878713820795,-59.870852753338305,-0.09445766353930532
2.139748953669534,12.491195284497532,-1.7277416597301272,-59.93878362022598,-0.094402445803134
2.152308234163958,12.497480098362416,-1.738615327060949,-60.00669545694087,-0.0943480517530528
2.16487128783711,12.503753905482812,-1.7494997040210956,-60.07458834438787,-0.09429310584947823
2.177438115970425,12.510016693567144,-1.7603947788140024,-60.14246207195084,-0.09423817320917073
2.190008719852242,12.516268450352309,-1.7713005396335282,-60.210316729635885,-0.09418352391208965
2.202583100740844,12.522509163544052,-1.7822169746555503,-60.278152562518144,-0.09412931856824004
2.2151612598823793,12.52873882084589,-1.7931440720419316,-60.345969229532734,-0.09407376948406904
2.227743198590933,12.53495741008836,-1.8040818199590867,-60.4137668545909,-0.09401995418440963
2.2403289180864485,12.541164918967315,-1.8150302065405652,-60.48154573292392,-0.0939652713914782
2.252918419630732,12.547361335263599,-1.8259892199184504,-60.549305467618865,-0.0939104019163133
2.2655117044992266,12.553546646797468,-1.836958848216986,-60.61704636048021,-0.09385660246405626
