ArcLength_mm,X_mm,Y_mm,TangentAngle_deg,Curvature
0.0,-108.76417221537514,1.3319769536547065e-14,-63.871343812101806,5.494815472218891e-17
0.010183717251868963,-108.7590912772317,-0.008825653780222353,-52.29208794731423,40.62963405612447
0.022650452693256787,-108.75029184884708,-0.01765682316312398,-45.02792019028869,-19.32790134044349
0.0344386306681428,-108.74248993374329,-0.026493749137733006,-49.048171430004125,7.602082682687267
0.04640862418428893,-108.73442205281445,-0.0353362624735856,-47.37699580833356,-2.7191549696574326
0.05833405039647756,-108.72642670089705,-0.04418443392644888,-48.012226650540846,0.861300503710698
0.07027583268349283,-108.7184131892245,-0.05303823507987821,-47.82612640620803,-0.3172182739885296
0.08221768110974664,-108.71040581163867,-0.06189767343867914,-47.915077379768185,0.057221188595208805
0.09416396158714939,-108.70239805699073,-0.07076274437710135,-47.91560134619696,-0.058751745436834035
0.10611350748331319,-108.69439166712425,-0.07963344719201097,-47.94372908692932,-0.023413866650005374
0.11806663355722123,-108.68638617277884,-0.08850977994964936,-47.963372136374964,-0.0339495338227068
0.13002325789681224,-108.67838169704231,-0.09739174109465826,-47.985539870267395,-0.030767714756244215
0.1419834047074379,-108.67037820444833,-0.10627932895806287,-48.006923270707965,-0.03164134398756406
0.15394706990989976,-108.66237570180489,-0.11517254190493438,-48.02850497216412,-0.03132794553553195
0.16591425689149925,-108.65437418474713,-0.12407137829105129,-48.0499964128986,-0.03135953566559047
0.17788496704844708,-108.64637365188315,-0.13297583647524877,-48.07148152101962,-0.03129102959376595
0.18985920234335274,-108.63837410096707,-0.141885914816025,-48.092935937551886,-0.0312516214522112
0.20183696456959566,-108.63037553000008,-0.15080161167238113,-48.11436676984385,-0.031203882346576985
0.21381825554497985,-108.6223779369407,-0.1597229254037372,-48.13577223578749,-0.031159324019417102
0.2258030770573764,-108.61438131978599,-0.16864985436979915,-48.15715241084346,-0.031111849757915932
0.23779143100240396,-108.60638567636528,-0.1775823969305744,-48.17850749390382,-0.03106791492151932
0.24978331909420298,-108.59839100477403,-0.18652055144671006,-48.19983776661591,-0.03102130547054511
0.2617787431812364,-108.59039730289989,-0.19546431627898975,-48.2211426274074,-0.030975663862784
0.27377770507345545,-108.58240456868202,-0.2044136897885431,-48.24242262853566,-0.030930706036001
0.2857802065305224,-108.5744128001292,-0.2133686703370946,-48.263677558740085,-0.03088449437087772
0.2977862493786885,-108.56642199514374,-0.2223292562864869,-48.28490741739408,-0.030839579089631204
0.30979583538489414,-108.5584321517111,-0.23129544599908822,-48.30611226846008,-0.030793598010292883
0.32180896636021344,-108.55044326774401,-0.2402672378374332,-48.327292068002585,-0.030748599405615713
0.33382564406745335,-108.5424553412219,-0.24924463016465706,-48.348446964134766,-0.030703093236216755
0.34584587028712355,-108.53446837009128,-0.258227621344141,-48.369576871205034,-0.030657890220562437
